url,label
http://www.acranes.com/index.php?option=com_sobi2&sobi2Task=updated&Itemid=49,1
login.44031.maxkz.com/2f0ae97f120413b34ca5cc3e01b55cf5/login.html,0
localschooldirectory.com/public-school/53543/NH,0
sermonaudio.com/sermoninfo.asp?SID=1016072218148,0
bbk.academia.edu/SamRoberts,0
http://www.guenther-heizung-sanitaer.de/index.php?option=com_impressum&view=impressum&Itemid=21,1
schools.smcps.org/gmhs/fellowship-christian-athletes,0
http://www.pomorskie-lzs.pl/index.php?option=com_docman&task=doc_download&gid=12&Itemid=,1
meme.sdsc.edu/meme/metameme-intro.html,1
fbi.gov/wanted/,0
travel.yahoo.com/p-travelguide-2803758-musee_d_art_contemporain_montreal-i,0
https://zohard.com/.well-known/pki-validation/mod/unblockverification/customer_center/customer-IDPP00C963/signin/signin.php?cmd=_update-information&amp;account_update=7fa1081401b8f44abfe1a9beb342c1e4&amp;lim_session=f2a6e56b12a3ee09775677a7f1f8dfdaa43896c3,1
http://www.planet-fitness.it/index.php?option=com_content&view=category&layout=blog&id=39&Itemid=64,1
www.computacenter.com/training/,1
spoke.com/dir/p/bartlett/scott,0
https://onedrive.live.com/download?cid=FEDBE7305E742A3E&resid=FEDBE7305E742A3E%21149&authkey=AHdtniVa1oS_iBw,1
http://espn.go.com/blog/nhl/post/_/id/35158/ducks-wild-closing-strong-blues-blackhawks-have-questions-in-west,0
http://182.114.252.236:35685/Mozi.m,1
http://wxztjz.com/e/public/onclick?enews=donews&classid=65&id=130,1
http://www.amilliondreams.eu/index.php?option=com_content&view=article&id=98:fotos-hellboy-ave-bengal&catid=3&ml=1&Itemid=17&lang=nl,1
http://www.z-mobility.eu/archiv-2011/254-02-07-2011.html,1
content.usatoday.com/topics/more+articles/Steve+Alford,0
http://themeforest.net/item/medicallink-responsive-medical-wordpress-theme/full_screen_preview/10955291,0
http://idealajans.org/index.php?option=com_content&view=article&id=196&Itemid=65,1
en.wikipedia.org/wiki/Pillar_(band),0
verif-case-purchase-id-96235-584-862.com,1
youtube.com/watch?v=UIXgHfbC0Dk,0
home.wowway.com/~tinweasel/,1
